ID,Treatment,nSF,Max_Stages_Reached,n_L_SF1,n_L_SF2,Alive,Contamination,Exclude,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,FW_L_Rest,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,N_Other,N_No,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Forks,Crossings,Length_Fine,SA_Fine,Vol_Fine
18042024028,Pilo,2,5,4,2,yes,no,no,0.9,3.3,2.4,2.8832,1.1704,1.1773,0.5398,0.4269,0.1951,0.3004,0.1568,0.4175,0.1815,,,0.0162,0.0064,1.7052,0.6306,1.0775,0.4759,0.404,0.1547,27.672,28.355,0,3,0,164,845.4242,101.0146,0.3803,0.96,2647,6662,1442,791.0963,59.2558,0.6077
18042024029,Pilo,2,5,2,4,yes,no,no,1.4,9.3,7.9,2.9005,1.2326,1.3723,0.6834,0.4014,0.1893,0.2263,0.1344,0.7315,0.3567,,,0.0085,0.003,1.3728,0.5492,1.0207,0.4372,0.2876,0.112,22.973,48.823,0,2,0,161,728.7438,71.2542,0.3112,0.554,2570,4800,1179,688.9673,42.075,0.3697
18042024030,Pilo,3,7,5,3,yes,no,no,3.2,6.3,3.1,2.9328,1.0424,1.4598,0.6325,0.3923,0.1695,0.3284,0.1589,0.7245,0.3041,,,,,1.2813,0.4099,0.8227,0.2765,0.4534,0.1334,29.752,53.082,0,1,0,153,665.6486,71.2411,0.3407,0.607,2374,4886,1180,627.8257,41.0477,0.3731
18042024031,Pilo,3,5,3,3,yes,no,no,3.7,8.1,4.4,2.0802,0.9234,1.0002,0.5028,0.2696,0.1426,0.2336,0.1186,0.4674,0.2326,"0,0108",0.0072,0.004,0.0018,0.8933,0.4206,0.6048,0.3051,0.2333,0.1155,19.219,32.182,0,4,0,187,727.7093,63.672,0.2785,0.443,2302,5601,1626,700.2946,40.0234,0.3123
18042024032,Pilo,3,6,3,3,yes,no,no,2.1,8.8,6.7,2.8506,1.1767,1.2531,0.6022,0.4129,0.2016,0.197,0.1061,0.4956,0.2313,0.0854,0.059,0.0079,0.004,1.2537,0.5745,0.912,0.4228,0.2854,0.152,18.314,34.261,0,5,0,182,848.3476,81.1364,0.3044,0.618,2699,6999,1828,812.2415,50.2964,0.4321
18042024033,Pilo,3,6,3,2,yes,no,no,2.4,6.5,4.1,3.1445,1.2041,1.5068,0.6943,0.3887,0.1716,0.3598,0.178,0.7223,0.3212,0.0311,0.024,,,1.5133,0.5098,1.1014,0.4094,0.2732,0.1,30.2,47.102,0,1,0,139,555.8221,64.5777,0.3698,0.597,2125,3498,738,520.2173,38.0774,0.4095
18042024034,Pilo,2,6,4,4,yes,no,no,1.4,6.1,4.7,1.6074,0.6242,0.6552,0.3401,0.2019,0.0934,0.1189,0.0901,0.2473,0.1119,0.0673,0.042,0.0094,0.003,0.8352,0.2841,0.518,0.194,0.2471,0.09,10.563,18.809,4,0,0,152,460.1487,49.3331,0.3413,0.421,1495,3050,737,441.2624,32.3851,0.3313
18042024035,Pilo,2,4,1,4,yes,no,no,1.7,4.8,3.1,4.0742,1.5746,1.5574,0.7664,0.3856,0.1789,0.2573,0.1309,0.8828,0.4448,,,0.0269,0.012,2.0021,0.8082,1.3654,0.573,0.5877,0.235,21.891,58.528,6,0,0,182,1108.9434,107.022,0.3072,0.822,3717,9512,2794,1059.8831,65.2018,0.5813
18042024036,Pilo,3,,3,3,yes,yes,yes,2.4,6.8,4.4,2.5029,1.0243,1.335,0.6383,0.405,0.1838,0.376,0.1895,0.5226,0.2481,0.0279,0.017,,,1.0545,0.386,0.6415,0.266,0.3369,0.12,27.689,31.723,2,0,0,99,742.4018,68.0866,0.2919,0.497,2535,5481,1405,711.7114,43.2109,0.3523
18042024037,Co_Inoc,3,5,3,2,yes,no,no,3.3,6.5,3.2,1.5972,0.6362,0.7535,0.3732,0.1918,0.093,0.0984,0.0517,0.343,0.1647,0.0997,0.0638,,,0.7368,0.263,0.478,0.207,0.1379,0.056,10.029,25.322,18,0,0,94,492.2522,48.5973,0.3142,0.382,1583,3332,835,467.6712,30.2765,0.2878
18042024038,Co_Inoc,1,1,0,3,yes,no,no,2.5,4.2,1.7,1.0768,0.3862,0.3441,0.1649,0.1264,0.0614,,,0.1973,0.1001,,,0.0081,0.0034,0.6221,0.2213,0.4036,0.1766,0.1006,0.0447,,18.244,7,0,0,131,322.2699,34.2562,0.3384,0.29,1177,1969,368,306.8519,22.5765,0.246
18042024039,Co_Inoc,3,6,2,2,yes,no,no,1.6,4.6,3,0.7332,0.2516,0.3452,0.1486,0.1107,0.0474,0.0973,0.0413,0.0288,0.0085,0.105,0.0514,,,0.3388,0.103,0.2337,0.0784,0.0803,0.0246,6.318,1.677,16,0,0,98,227.9185,22.2021,0.3101,0.172,804,1587,348,216.8429,13.8826,0.1262
18042024040,Co_Inoc,2,2,3,1,yes,no,no,1.4,4.1,2.7,0.9843,0.3606,0.346,0.1693,0.0751,0.0506,0.1225,0.0648,0.0186,0.003,0.087,0.0509,,,0.525,0.1913,0.4193,0.1562,0.077,0.0351,12.576,0.427,2,0,0,54,340.2917,31.8714,0.2981,0.238,1243,1959,423,332.0329,22.374,0.2178
18042024041,Co_Inoc,2,3,1,2,yes,no,no,3.2,5.3,2.1,1.5594,0.5651,0.8334,0.3613,0.2796,0.1162,0.1754,0.0827,0.3655,0.1624,,,,,0.5783,0.2038,0.4798,0.1752,0.0734,0.0286,13.335,26.554,4,0,0,98,367.5486,37.2347,0.3225,0.3,1426,2512,519,351.137,25.129,0.2728
18042024042,Co_Inoc,3,5,2,2,yes,no,no,2.2,6.5,4.3,2.1797,0.8699,0.9821,0.4804,0.2689,0.1282,0.096,0.0484,0.4514,0.2073,0.1581,0.0965,,,1.0404,0.3895,0.7563,0.316,0.2057,0.0735,7.615,30.266,46,0,0,154,623.6956,60.4634,0.3086,0.466,2246,4884,1313,596.1282,36.3688,0.3143
18042024043,Co_Inoc,3,3,3,2,yes,no,no,2.2,5.1,2.9,0.7747,0.5587,0.3868,0.2834,0.1161,0.1049,0.0474,0.0667,0.205,0.1088,,,0.0091,0.003,0.3767,0.2753,0.2586,0.2151,0.0598,0.06,12.383,16.805,2,0,0,107,211.9867,20.6068,0.3094,0.159,762,1288,300,204.4656,14.3344,0.1444
18042024044,Co_Inoc,3,6,3,2,yes,no,no,2.7,5,2.3,1.4527,0.2855,0.6137,0.1753,0.1972,0.0557,0.1144,0.0229,0.2359,0.0933,,,0.0052,0.003,0.7857,0.1102,0.5005,0.0854,0.1145,0.025,3.991,16.399,70,0,0,114,508.8272,49.8658,0.3119,0.389,1586,3787,994,492.1358,33.5904,0.3443
18042024045,Co_Inoc,,,,,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18042024046,Co_Inoc,2,3,2,2,yes,no,no,1.9,4.4,2.5,0.6191,0.244,0.2634,0.1383,0.0815,0.0431,0.0444,0.0299,0.1285,0.0622,,,0.0076,0.003,0.302,0.1057,0.1973,0.071,0.0892,0.035,4.748,10.969,11,0,0,73,244.1648,21.1243,0.2754,0.145,802,1530,361,235.428,13.9915,0.1167
18042024047,Co_Inoc,2,2,0,2,yes,no,no,1.1,2.6,1.5,0.7891,0.2709,0.2311,0.1057,0.0851,0.0411,,,0.1293,0.0587,,,0.0135,0.006,0.4893,0.1652,0.3546,0.131,0.0829,0.035,,11.79,7,0,0,102,353.3768,31.3342,0.2822,0.221,1283,2234,509,344.2007,21.5765,0.2035
18042024048,Co_Inoc,3,5,3,2,yes,no,no,4.2,8.7,4.5,1.9332,0.7836,1.078,0.5192,0.4023,0.1858,0.204,0.1027,0.442,0.2137,0.0263,0.017,,,0.7586,0.2644,0.57,0.209,0.1399,0.056,18.018,28.693,5,0,0,79,484.5441,46.4147,0.3049,0.354,1692,2939,643,461.8644,29.5824,0.274
07052024001,Control,3,,3,2,yes,yes,yes,0.8,4.6,3.8,1.1688,0.2683,0.5553,0.2683,0.1369,0.0626,0.1339,0.0737,0.2845,0.132,,,,,0.5573,0.158,0.4428,0.137,0.0587,0.021,12.635,20.913,0,0,0,100,192.33,27.43,0.45,0.31,543,667,85,176.1483,16.3223,0.1924
