var,nSF,Max_Stages_Reached,n_L_SF1,n_L_SF2,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,Mycorrhization,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Tips_per_cm,Forks,Crossings,Length_Fine,Length_Prop_Fine,SA_Fine,SA_Prop_Fine,Vol_Fine,Vol_Prop_Fine
DW_Bud,0.5891606955185162,0.7100716933335932,0.9150556994347355,0.8639552331957027,0.2908885010098948,0.992873609475608,0.5273313746330898,0.21082900778800162,0.9857477056831194,0.5339342676666191,0.30504538191235625,0.17630091882710916,0.21449565851216035,0.38773769462452035,0.9501425135438994,0.9643777803872735,0.8230994950840758,0.30504538191235625,0.0030231938253130076,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_Roots_Total,0.3388006961962018,0.6724644411745898,0.6979473895858677,0.8172848794796851,0.04099979018175765,0.04134226737172356,0.3988401854392243,0.004107709360574616,0.9431862416608072,0.04634590589406464,0.03674133435865421,0.010340409451492871,0.019118113777463332,0.493621819356885,0.7478683035983906,0.028672705671406933,0.07803332731018377,0.5532950092839336,0.1223318876780357,0.17957965374872187,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_Roots_Total,0.21182138128164318,0.8661899690769886,0.7051908883544694,0.7814708635097442,0.11424883467389672,0.020516042572872414,0.2078784368558635,0.009509496050393565,0.08582353060960754,0.017792450692375672,0.0023766147979084394,0.016536698804267277,0.0033267413834299686,0.971577682777073,0.590478988652005,0.08991308230865631,0.18088916310494071,0.19441291997748622,0.5053147342962482,0.14560970985228816,0.03458605834210784,-0,1,0.018736563597119487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_PR,0.3388006961962018,0.9850727371617268,0.5257852422169538,0.3559843056682245,0.3988401854392243,0.049004495598330935,0.13226549708781862,4.607427269933661e-6,0.8725444288811492,6.209883849300364e-4,3.802080801851198e-4,7.544562359359073e-5,0.00211222959934988,0.6157988686488813,0.36367498164017825,0.04634590589406464,0.20140608996104353,0.4047740712709462,0.13286024415692965,0.048253045290605284,0.0033267413834299686,0.0033267413834299686,-0,0.013584237199560022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_PR,0.2709589277132673,0.7427135623987574,0.5520323982154222,0.8244892801947213,0.20428742547452727,0.060736503065617856,0.3012234648563527,0.001652500657442944,0.44812738231536575,0.008000717411226533,0.001652500657442944,0.0014541896038438218,0.001652500657442944,0.7889509278475181,0.41540511972553806,0.19441291997748622,0.42617551959450883,0.143971434687836,0.1679783461478961,0.016142619793932455,0.020516042572872414,1.9296152005272386e-5,1.3975552674444468e-5,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FW_LR,0.3388006961962018,0.21042859022613375,0.5000993444908292,0.8752463440162783,0.34817162559162995,0.09849011541638991,0.26224557983406593,0.1679783461478961,0.3942840173973614,0.3249215884859752,0.22331572029248165,0.2974384220710292,0.18757411613383762,0.3156083662499546,0.33438585619752936,0.025167116551899238,0.04634590589406464,0.7615000227827015,0.8445023706449685,0.5831622245603264,0.007318569842104318,0.13834237788821271,0.2547064607541252,0.3942840173973614,-0,1,1,1,0.6070010158002715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DW_LR,0.41504862894541317,0.3595724761629488,0.51287057975857,0.19122891901470962,0.1903113383095045,0.04379259223545474,0.1520697531476799,0.143971434687836,0.030554114172937824,0.3249215884859752,0.18088916310494071,0.41540511972553806,0.18757411613383762,0.2974384220710292,0.37373304228189164,0.026877834421252005,0.03252444027009696,0.493621819356885,0.8305423857560938,0.9643777803872735,0.04634590589406464,0.016536698804267277,0.3156083662499546,0.20855405979520888,0.0029822333891698473,-0,1,1,1,1,1,1,0.114576662528011,1,1,1,1,1,1,1,1,0.5063628099054753,1,1,1
A_L_SF1,0.6871851699928555,0.19917487067171796,0.4384952538051373,0.21706959899876868,0.45867079393927446,0.23092986230203408,0.14336000092471557,0.3537636356336791,0.8305423857560938,0.03674133435865421,0.08582353060960754,0.08582353060960754,0.10760914039913919,6.363704773478661e-7,1.1239312789557506e-6,0.8166280406760861,0.493621819356885,0.7751954088891221,0.12752383613843682,0.5769111304306215,0.5290679872349874,0.8166280406760861,0.4820544547023682,0.6030877531318972,0.2547064607541252,0.28858316144472024,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A_L_SF2,0.058947413125598404,0.12545807558024757,0.545419380805818,0.4201556092003751,0.7543476386857775,0.493621819356885,0.37813583791530936,0.010340409451492871,0.42617551959450883,0.016536698804267277,0.019118113777463332,0.13286024415692965,0.2158571806493815,0.7073898735142603,0.971577682777073,9.90622531756468e-6,4.502862955462123e-4,0.26294314035936006,0.3249215884859752,0.5957446369052697,0.06729171199351028,0.22331572029248165,0.028672705671406933,0.19441291997748622,0.2547064607541252,0.30644705251252874,0.8445023706449685,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N_Ceno,0.2150836085470566,0.4669617247922608,0.4235991593233436,0.7112884787303586,0.3477759838265755,0.11166266937807531,0.4207544391420641,0.32332633252320986,0.5776082168293962,0.2542253737983046,0.13605238396219185,0.2135162276237262,0.053484066500237126,0.7494815011484794,0.7927318437272454,0.07593388743230843,0.07593388743230843,0.8072771403542253,0.6998699958385065,0.3170239165963653,0.05501780913868012,0.205890658657185,0.4018090436119244,0.5325404019517951,6.369370575029082e-4,0.028823591039354654,0.9030259969404082,0.3484678385130002,1.8915076137698032e-87,1,0.021998009920976964,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N_Pilo,0.5227462297079616,0.7080423556997394,0.9582876882287085,0.9950200986260777,0.9135207377596624,0.10664947332473956,0.08832237231543218,0.14530767050110538,0.014563925594387883,0.08882767525808172,0.023649042552059442,0.21128941262528061,0.0410088506299347,0.46410961507522075,0.30529398440068173,0.1303270141901694,0.15320349799286154,0.9711701338242882,0.30529398440068173,0.975907481198799,0.4717809628217287,0.01243875360670857,0.20157995659741668,0.10046105571591676,0.24751179067334889,0.017808306578882112,0.3239987745495571,0.3239987745495571,0.06044902896288073,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mycorrhization,0.08356814903683342,0.12585992975190172,0.5431556531028611,0.5943034722774857,0.23917326085207632,0.3221194644437798,0.8787493193360799,0.6791015490788793,0.9857081744255128,0.5633937702809964,0.41274159398084553,0.4680972489933375,0.213128180570549,0.9001767532208589,0.7878055969234126,0.14152081411572426,0.15316124915008858,0.9143863113766086,0.9571402242653357,0.2267957143253566,0.1304771518755957,0.5388437167034213,0.7465125229599344,0.9428719413687379,0.001310737254518662,0.12517612378417337,0.7058335018395138,0.4455455789569255,2.2725216860513393e-5,0.5086262035007093,1.8915076137698032e-87,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Length_Tot,0.5902000816113703,0.6933117777447382,0.7862646364248406,0.14859176451945408,0.11424883467389672,0.060736503065617856,0.48143708867618074,0.30644705251252874,0.020516042572872414,0.26294314035936006,0.10760914039913919,0.24662526251007166,0.038992623432448255,0.7615000227827015,0.8027630076692551,0.37373304228189164,0.36367498164017825,0.23092986230203408,0.7208097995138618,0.539987828132436,0.09849011541638991,0.005536115775787635,0.33438585619752936,0.08186423116569436,0.11728306543614496,0.004107709360574616,0.9857869107140623,0.8445023706449685,0.09486882135540273,0.01243875360670857,0.456754476577856,-0,1,1,1,3.307890622653479e-4,1,0.0018369269644802253,3.307890622653479e-4,3.870316940951844e-9,1,0.114576662528011,1,1,1
Area_Tot,0.3388006961962018,0.7427135623987574,0.6692134326123103,0.14263870097728337,0.021752500035364424,0.038992623432448255,0.40940652990968396,0.04379259223545474,0.18088916310494071,0.20140608996104353,0.09413469259693931,0.11728306543614496,0.049004495598330935,0.23092986230203408,0.45930514272500556,0.0707490406749636,0.08991308230865631,0.2798818688931398,0.3942840173973614,0.18289688316516478,0.0014541896038438218,0.0012750239017411188,0.04634590589406464,0.014225578511456708,0.020516042572872414,1.1910255980042724e-4,0.2798818688931398,0.2974384220710292,0.09947796228473736,0.06611569258231678,0.3221194644437798,0.0012750239017411188,-0,1,1,1,1,1,1,1,1,0.009648663459307998,1,1,1
Diameter_Avg,0.8935897294005697,0.2593017485706024,0.20975105136328667,0.45427332715194224,0.7137117223981637,0.6286094178894162,0.8442906791298771,0.5171309114848299,0.10760914039913919,0.971577682777073,0.7073898735142603,0.9148564744875124,0.44812738231536575,0.7073898735142603,0.41540511972553806,0.7615000227827015,0.9290117291603508,0.9857869107140623,0.18757411613383762,0.4750727787911655,0.971577682777073,0.4047740712709462,0.5655798619595345,0.9290117291603508,0.6415164215860881,0.4370835438311813,0.4370835438311813,0.42617551959450883,0.19477377430299675,0.11309107395798172,0.5883934531208658,0.005536115775787635,0.5053147342962482,-0,1,1,1,1,1,1,1,1,1,1,1
Root_Vol,0.3388006961962018,0.539510903345377,0.2217620360797719,0.33584636135740775,0.0794513795001381,0.09849011541638991,0.3433070944614317,0.005536115775787635,0.9857869107140623,0.07803332731018377,0.06395489148355483,0.030554114172937824,0.060736503065617856,0.9007243023389337,0.9857869107140623,0.05177062555916262,0.09849011541638991,0.590478988652005,0.15567475363347455,0.08482844668385825,0.010340409451492871,0.05464653454086535,0.010340409451492871,0.026877834421252005,0.3839365166506742,0.06395489148355483,0.8305423857560938,0.060736503065617856,0.4299596081905518,0.26977565790983354,0.7193191075567241,0.30644705251252874,0.006088305245824152,0.30644705251252874,-0,1,1,1,1,1,1,1,1,1,1
Tips,0.41504862894541317,0.7713693792703782,0.4207781959814615,0.33584636135740775,0.19374727203670594,0.16175105277252633,0.7339499266784841,0.33438585619752936,0.023538167096433013,0.2798818688931398,0.09849011541638991,0.24662526251007166,0.03674133435865421,0.6286094178894162,0.9290117291603508,0.3537636356336791,0.34400021825866983,0.3249215884859752,1,0.4248608396164142,0.06729171199351028,0.006088305245824152,0.24662526251007166,0.05763443347046612,0.07432891414402139,0.017792450692375672,0.9007243023389337,0.7343037452877027,0.07400711563786341,0.023649042552059442,0.36091469038968105,3.365097276351454e-7,0.004107709360574616,0.0037013137357526185,0.5290679872349874,-0,1,1.6072915598539268e-4,2.5877034473014693e-5,2.5877034473014693e-5,1,0.9213087471426831,1,1,1
Tips_per_cm,0.11948151603226087,0.041402296014641835,9.715054292073093e-4,0.13400625628588284,0.4530613463425496,0.971577682777073,0.9431081531400504,0.9857869107140623,0.9290117291603508,0.9857869107140623,0.971577682777073,0.8305423857560938,0.9857869107140623,0.6940473279966857,0.590478988652005,0.4706148514721424,0.6286094178894162,0.8445023706449685,0.8166280406760861,0.8792476334846734,0.8305423857560938,0.6940473279966857,0.6286094178894162,0.5290679872349874,1,0.45930514272500556,0.7073898735142603,0.4047740712709462,0.8586087507594892,0.9711701338242882,0.4795718262439711,0.6286094178894162,0.8305423857560938,0.1223318876780357,0.19441291997748622,0.3249215884859752,-0,1,1,1,1,1,1,1,1
Forks,0.4991280865985603,0.8883538915955553,0.6338746323730248,0.2532969717476696,0.37813583791530936,0.37373304228189164,0.85831129497406,0.590478988652005,0.0029822333891698473,0.5655798619595345,0.23092986230203408,0.6157988686488813,0.15567475363347455,0.41540511972553806,0.8166280406760861,0.3537636356336791,0.24662526251007166,0.5779754288392673,0.9007243023389337,0.5339342676666191,0.20855405979520888,0.019118113777463332,0.5171309114848299,0.16175105277252633,0.13286024415692965,0.01122524557766861,0.680785475070949,0.7751954088891221,0.1303536751279594,0.01243875360670857,0.5388437167034213,1.8782484299388806e-6,0.008000717411226533,0.002666078612137288,0.6157988686488813,1.6317680810699765e-7,0.42617551959450883,-0,7.672478077047907e-6,1.6072915598539268e-4,1,0.6888745529621084,1,1,1
Crossings,0.4991280865985603,0.9403356613482036,0.4207781959814615,0.2793269102522803,0.3289383484629009,0.20140608996104353,0.6540679569539335,0.493621819356885,0.005023237655349925,0.4047740712709462,0.143971434687836,0.4047740712709462,0.0707490406749636,0.6415164215860881,0.9148564744875124,0.36367498164017825,0.30644705251252874,0.3537636356336791,0.7889509278475181,0.6865831091447772,0.18088916310494071,0.013165575845550236,0.45930514272500556,0.13834237788821271,0.07803332731018377,0.009509496050393565,0.9148564744875124,0.8585042942308735,0.06146647638708382,0.01243875360670857,0.3221194644437798,3.365097276351454e-7,0.009509496050393565,0.001652500657442944,0.6545168402947127,2.619133043827398e-8,0.42617551959450883,7.757814031393232e-9,-0,6.965216292754695e-5,1,1,1,1,1
Length_Fine,0.5902000816113703,0.6450020617427437,0.7343890279929199,0.19479582456832015,0.15806343358109934,0.09849011541638991,0.5650364026691794,0.36367498164017825,0.015348516732105445,0.30644705251252874,0.1223318876780357,0.2974384220710292,0.049004495598330935,0.6940473279966857,0.8445023706449685,0.41540511972553806,0.3942840173973614,0.2798818688931398,0.7478683035983906,0.4865944720784181,0.11728306543614496,0.007318569842104318,0.36367498164017825,0.08991308230865631,0.13286024415692965,0.007318569842104318,0.971577682777073,0.8585042942308735,0.11421492204430034,0.01243875360670857,0.5147644760206882,3.909411051466509e-12,0.0023766147979084394,0.0037013137357526185,0.4047740712709462,2.619133043827398e-8,0.5411235235098938,1.6317680810699765e-7,7.064113887175146e-8,-0,1,0.14154994509714913,1,1,1
Length_Prop_Fine,0.6871851699928555,0.955236100943512,0.8999505784122845,0.40359562133852356,0.4255192840857561,0.3839365166506742,0.5225013271325194,0.05177062555916262,0.04379259223545474,0.18088916310494071,0.33438585619752936,0.0707490406749636,0.4047740712709462,0.6286094178894162,0.7073898735142603,0.5779754288392673,0.9573761750901849,0.5779754288392673,0.11237597055825148,0.2295531106552256,0.23869970534203358,0.4706148514721424,0.023538167096433013,0.09849011541638991,0.9148564744875124,0.590478988652005,0.8027630076692551,0.33438585619752936,0.6444949630998772,0.4121224232704732,0.9143863113766086,0.1679783461478961,0.8166280406760861,0.005023237655349925,0.07432891414402139,0.16175105277252633,0.7478683035983906,0.04634590589406464,0.06395489148355483,0.1223318876780357,-0,1,1,1,1
SA_Fine,0.41504862894541317,0.977610503686414,0.5388402446951859,0.1152270723102431,0.060315642405867516,0.09413469259693931,0.540556721420366,0.17435746494503276,0.04134226737172356,0.3537636356336791,0.12752383613843682,0.2547064607541252,0.060736503065617856,0.2713350545052358,0.6415164215860881,0.23869970534203358,0.2547064607541252,0.24662526251007166,0.590478988652005,0.1186443266122107,0.04134226737172356,0.0029822333891698473,0.18757411613383762,0.038992623432448255,0.10760914039913919,5.302228375973564e-4,0.37373304228189164,0.5532950092839336,0.20968197885535647,0.023649042552059442,0.5883934531208658,1.1910255980042724e-4,9.90622531756468e-6,0.2547064607541252,0.04134226737172356,9.687789139250085e-4,0.680785475070949,7.236077236996937e-4,0.0014541896038438218,1.47447859476197e-4,0.5532950092839336,-0,1,1,1
SA_Prop_Fine,0.8935897294005697,0.23818678130096907,0.8465505454458228,0.40907802118061887,0.46431334921110756,0.06395489148355483,0.19722189332735987,0.09413469259693931,0.09413469259693931,0.0707490406749636,0.20855405979520888,0.05177062555916262,0.15567475363347455,0.11728306543614496,0.20855405979520888,0.7073898735142603,0.9290117291603508,0.8445023706449685,0.6415164215860881,0.8370740517326963,0.2547064607541252,0.3156083662499546,0.06729171199351028,0.15567475363347455,0.680785475070949,0.9431862416608072,0.1679783461478961,0.6545168402947127,0.4129535661844924,0.6021021772747505,0.5633937702809964,0.8027630076692551,0.6940473279966857,0.5655798619595345,0.3156083662499546,0.7615000227827015,0.7073898735142603,0.36367498164017825,0.4706148514721424,0.7073898735142603,0.012166220319951985,0.7208097995138618,-0,1,1
Vol_Fine,0.5902000816113703,0.5458800989416496,0.3864524032647757,0.13684432838358276,0.1024423066276814,0.3942840173973614,0.8794129823285037,0.13286024415692965,0.36367498164017825,0.5532950092839336,0.2974384220710292,0.23869970534203358,0.19441291997748622,0.13834237788821271,0.44812738231536575,0.34400021825866983,0.3839365166506742,0.20855405979520888,0.04634590589406464,0.004609574388378452,0.038992623432448255,0.08186423116569436,0.12752383613843682,0.06729171199351028,0.44812738231536575,0.049004495598330935,0.20140608996104353,0.42617551959450883,0.8807772318718408,0.4717809628217287,0.8436503795048705,0.07803332731018377,0.0023766147979084394,0.7208097995138618,0.002666078612137288,0.13834237788821271,0.3942840173973614,0.1223318876780357,0.1679783461478961,0.08991308230865631,0.7073898735142603,0.0012750239017411188,0.41540511972553806,-0,1
Vol_Prop_Fine,0.41504862894541317,0.9031724181495735,0.2513916698883929,0.5450415989093388,0.7543476386857775,0.26294314035936006,0.2706361115625358,0.17435746494503276,0.11728306543614496,0.1679783461478961,0.33438585619752936,0.18088916310494071,0.33438585619752936,0.13834237788821271,0.4706148514721424,0.42617551959450883,0.7889509278475181,0.7751954088891221,0.7208097995138618,0.7677166575397278,0.5053147342962482,0.8166280406760861,0.22331572029248165,0.5655798619595345,0.7208097995138618,0.971577682777073,0.37373304228189164,0.28858316144472024,0.4129535661844924,0.64544941246538,0.36091469038968105,0.2713350545052358,0.9857869107140623,0.060736503065617856,0.15567475363347455,0.19441291997748622,0.1223318876780357,0.08991308230865631,0.11728306543614496,0.2158571806493815,0.015348516732105445,0.6286094178894162,0.001871361502871909,0.6415164215860881,-0
