var,nSF,n_L_SF1,n_L_SF2,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Forks,Crossings,Length_Fine,SA_Fine,Vol_Fine
FW_Stem,0.1649572197684645,0.2713385255898168,0.24197382229328956,0.3191199717708231,0.7582417582417583,0.5667130533171515,0.8901098901098902,-0.049450549450549455,0.9010989010989011,0.8956043956043956,1,0.9230769230769231,0.4450549450549451,0.5879120879120879,0.40659340659340665,0.1813186813186813,0.40659340659340665,0.2197802197802198,0.31523933229843204,0.6813186813186813,0.6483516483516484,0.8791208791208792,0.7857142857142857,0.3131868131868132,0.24725274725274726,0.4945054945054945,0.4395604395604396,-0.36988040871439304,0.3715547091237001,0.34615384615384615,0.4560439560439561,0.03296703296703297,0.598901098901099,0.34615384615384615,0.15384615384615385,0.2527472527472528,0.3131868131868132,0.34065934065934067,0.3516483516483516
DW_Stem,0.329914439536929,0.24748458927422853,0.05408826615967649,0.3988999647135289,0.7307692307692308,0.44566754678339093,0.7527472527472527,0.16483516483516483,0.8296703296703297,0.9065934065934066,0.9230769230769231,1,0.4340659340659341,0.5714285714285714,0.38461538461538464,0.20329670329670332,0.4175824175824176,0.1263736263736264,0.2761831318366794,0.6373626373626373,0.7472527472527474,0.7692307692307693,0.7802197802197803,0.39010989010989017,0.39010989010989017,0.46703296703296704,0.3681318681318681,-0.546151540992346,0.5721942520504981,0.576923076923077,0.554945054945055,-0.23076923076923078,0.5329670329670331,0.5824175824175825,0.4175824175824176,0.5164835164835165,0.554945054945055,0.5329670329670331,0.38461538461538464
FW_L_SF1,0.08247860988423225,0.06261658282841927,0.24766732399430816,-0.1265475750125678,0.31868131868131866,0.3411282456860523,0.22527472527472528,-0.13736263736263737,0.554945054945055,0.4450549450549451,0.4450549450549451,0.4340659340659341,1,0.8571428571428572,-0.021978021978021976,-0.1758241758241758,0.08241758241758242,-0.47252747252747257,-0.3375571611337193,-0.2087912087912088,0.010989010989010988,0.15384615384615385,0.08241758241758242,-0.3021978021978022,-0.3131868131868132,0.9505494505494505,0.11538461538461539,-0.09824948356476067,0.22293282547422003,-0.09340659340659342,-0.35714285714285715,-0.11538461538461539,-0.038461538461538464,-0.14835164835164835,-0.24725274725274726,-0.14285714285714285,-0.12087912087912088,-0.32967032967032966,-0.4340659340659341
DW_L_SF1,-0.20619652471058064,0.3548273026943758,0.3900048665197726,-0.10729033533674226,0.4560439560439561,0.4511696152621982,0.33516483516483514,-0.09890109890109891,0.5879120879120879,0.5604395604395604,0.5879120879120879,0.5714285714285714,0.8571428571428572,1,-0.1043956043956044,-0.22527472527472528,0.13186813186813187,-0.27472527472527475,-0.086481586736738,-0.09890109890109891,0.16483516483516483,0.27472527472527475,0.24725274725274726,-0.29120879120879123,-0.2692307692307692,0.9450549450549451,0.010989010989010988,-0.08091133940627349,0.3083904085726711,0.07692307692307693,-0.22527472527472528,-0.24725274725274726,0.005494505494505494,0.027472527472527476,-0.07142857142857142,0.03296703296703297,0.06043956043956044,-0.14285714285714285,-0.23076923076923078
FW_L_SF2,0.4948716593053935,-0.12225142361738998,0.10817653231935298,0.16781308860362248,0.3681318681318681,0.39614893047412525,0.6813186813186813,0.4010989010989011,0.6098901098901099,0.6263736263736264,0.40659340659340665,0.38461538461538464,-0.021978021978021976,-0.1043956043956044,1,0.9395604395604396,-0.24725274725274726,0.1813186813186813,-0.04184592906616355,0.6043956043956044,0.48901098901098905,0.5604395604395604,0.38461538461538464,0.6153846153846154,0.6098901098901099,-0.07142857142857142,0.9175824175824175,-0.5085855619822904,0.44215010385720305,0.2692307692307692,0.5164835164835165,0.09340659340659342,0.5494505494505495,0.2802197802197802,0.2802197802197802,0.27472527472527475,0.24725274725274726,0.3516483516483516,0.2857142857142857
DW_L_SF2,0.45363235436327737,-0.10436097138069876,-0.002846750850509289,0.16781308860362248,0.1813186813186813,0.19532343099765898,0.47252747252747257,0.4175824175824176,0.3736263736263737,0.4340659340659341,0.1813186813186813,0.20329670329670332,-0.1758241758241758,-0.22527472527472528,0.9395604395604396,1,-0.45054945054945056,0.22527472527472528,-0.06695348650586168,0.5054945054945056,0.39560439560439564,0.37912087912087916,0.24175824175824176,0.5604395604395604,0.5934065934065934,-0.2087912087912088,0.8296703296703297,-0.5085855619822904,0.419856821309781,0.27472527472527475,0.48901098901098905,-0.027472527472527476,0.47802197802197804,0.2857142857142857,0.34615384615384615,0.3076923076923077,0.25824175824175827,0.34065934065934067,0.26373626373626374
DW_L_Rest,0,0.05963484078897073,-0.29890883930347534,0.3108668690526122,0.4395604395604396,0.2310868761099064,0.23076923076923078,0.1043956043956044,0.23076923076923078,0.22527472527472528,0.40659340659340665,0.4175824175824176,0.08241758241758242,0.13186813186813187,-0.24725274725274726,-0.45054945054945056,1,-0.010989010989010988,0.259444760210214,0.1813186813186813,0.38461538461538464,0.2527472527472528,0.4285714285714286,0.09340659340659342,0.2087912087912088,0.0879120879120879,-0.33516483516483514,0.07513195802011109,-0.011146641273711002,0.35714285714285715,0.3241758241758242,-0.005494505494505494,0.16483516483516483,0.2967032967032967,0.17032967032967034,0.2802197802197802,0.3241758241758242,0.34615384615384615,0.3736263736263737
FW_Bud,0.24743582965269675,0.1639958121696695,0.019927255953565027,0.3163689375314195,-0.19780219780219782,-0.36588755384068516,0.25824175824175827,-0.20329670329670332,-0.005494505494505494,0.12087912087912088,0.2197802197802198,0.1263736263736264,-0.47252747252747257,-0.27472527472527475,0.1813186813186813,0.22527472527472528,-0.010989010989010988,1,0.7699650948174094,0.45054945054945056,0.20329670329670332,0.4395604395604396,0.40659340659340665,0.06043956043956044,-0.06593406593406594,-0.4450549450549451,0.2967032967032967,0.11847731841632902,-0.3083904085726711,-0.1098901098901099,0.25824175824175827,0.39010989010989017,0.4175824175824176,0,-0.038461538461538464,-0.08241758241758242,-0.09890109890109891,0.16483516483516483,0.5604395604395604
DW_Bud,0.10469228644697122,-0.11505804864012195,-0.11996675036084593,0.3436089332506785,-0.030687014648519934,-0.2248822693225985,0.3096598750896103,-0.053004843483807164,0.0920610439455598,0.20922964533081775,0.31523933229843204,0.2761831318366794,-0.3375571611337193,-0.086481586736738,-0.04184592906616355,-0.06695348650586168,0.259444760210214,0.7699650948174094,1,0.3682441757822392,0.345926346946952,0.4686744055410318,0.5551559922777697,-0.19528100230876322,-0.0027897286044109033,-0.2538653030013922,0.12553778719849065,0.33598522914774726,-0.06602739416929758,0.14506588742936696,0.39056200461752644,0.27060367462785767,0.5272587062336608,0.1701734448690651,0.14227615882495606,0.06416375790145078,0.1645939876602433,0.4547257625189773,0.7727548234218202
FW_Roots_Total,0.28867513459481287,0.11926968157794146,-0.07116877126273223,0.5722151217959587,0.5714285714285714,0.2558461842645392,0.7362637362637362,-0.021978021978021976,0.5604395604395604,0.5824175824175825,0.6813186813186813,0.6373626373626373,-0.2087912087912088,-0.09890109890109891,0.6043956043956044,0.5054945054945056,0.1813186813186813,0.45054945054945056,0.3682441757822392,1,0.5879120879120879,0.7472527472527474,0.631868131868132,0.7032967032967032,0.5604395604395604,-0.19230769230769232,0.521978021978022,-0.5432618502992648,0.21921727838298305,0.47802197802197804,0.7857142857142857,0.010989010989010988,0.6813186813186813,0.521978021978022,0.3736263736263737,0.39560439560439564,0.4560439560439561,0.5714285714285714,0.576923076923077
DW_Roots_Total,0.37115374447904514,0.11628793953849291,-0.08540252551527867,0.4594227179804091,0.631868131868132,0.3741406565588961,0.6868131868131868,0.4945054945054945,0.6428571428571429,0.7637362637362638,0.6483516483516484,0.7472527472527474,0.010989010989010988,0.16483516483516483,0.48901098901098905,0.39560439560439564,0.38461538461538464,0.20329670329670332,0.345926346946952,0.5879120879120879,1,0.7472527472527474,0.9065934065934066,0.4340659340659341,0.6483516483516484,0.07142857142857142,0.3626373626373626,-0.37565979010055545,0.6687984764226601,0.7197802197802198,0.7912087912087913,-0.2527472527472528,0.543956043956044,0.7142857142857143,0.6373626373626373,0.6648351648351649,0.7032967032967032,0.7527472527472527,0.5
FW_PR,0.28867513459481287,0.19381323256415486,0.2789815833499103,0.2558461842645392,0.554945054945055,0.44016547830458363,0.9285714285714286,0.049450549450549455,0.8186813186813187,0.8351648351648352,0.8791208791208792,0.7692307692307693,0.15384615384615385,0.27472527472527475,0.5604395604395604,0.37912087912087916,0.2527472527472528,0.4395604395604396,0.4686744055410318,0.7472527472527474,0.7472527472527474,1,0.9120879120879122,0.34065934065934067,0.3021978021978022,0.2142857142857143,0.6043956043956044,-0.2542927809911452,0.37898580330617404,0.29120879120879123,0.5604395604395604,0.1758241758241758,0.6813186813186813,0.34615384615384615,0.19780219780219782,0.22527472527472528,0.27472527472527475,0.39010989010989017,0.4450549450549451
DW_PR,0.329914439536929,0.18188626440636071,0.06832202041222293,0.3768916907982997,0.5329670329670331,0.3108668690526122,0.7802197802197803,0.23076923076923078,0.6978021978021979,0.7802197802197803,0.7857142857142857,0.7802197802197803,0.08241758241758242,0.24725274725274726,0.38461538461538464,0.24175824175824176,0.4285714285714286,0.40659340659340665,0.5551559922777697,0.631868131868132,0.9065934065934066,0.9120879120879122,1,0.25824175824175827,0.3736263736263737,0.15934065934065933,0.38461538461538464,-0.19071958574335893,0.475590027678336,0.5,0.6593406593406593,-0.027472527472527476,0.6098901098901099,0.5384615384615384,0.4120879120879121,0.4340659340659341,0.48901098901098905,0.576923076923077,0.521978021978022
FW_LR,0.28867513459481287,0.205740200721949,-0.04839476445865792,0.28335652665857575,0.47802197802197804,0.33562617720724497,0.40659340659340665,0.25824175824175827,0.2967032967032967,0.3626373626373626,0.3131868131868132,0.39010989010989017,-0.3021978021978022,-0.29120879120879123,0.6153846153846154,0.5604395604395604,0.09340659340659342,0.06043956043956044,-0.19528100230876322,0.7032967032967032,0.4340659340659341,0.34065934065934067,0.25824175824175827,1,0.7527472527472527,-0.34065934065934067,0.34065934065934067,-0.8177824661419784,0.34554587948504106,0.4560439560439561,0.631868131868132,-0.14285714285714285,0.26373626373626374,0.5109890109890111,0.4395604395604396,0.5054945054945056,0.4395604395604396,0.46703296703296704,0.23076923076923078
DW_LR,0.24743582965269675,-0.1997767166430519,-0.38715811566926334,0.3878958277559143,0.565934065934066,0.4209082386287581,0.4285714285714286,0.598901098901099,0.2967032967032967,0.39560439560439564,0.24725274725274726,0.39010989010989017,-0.3131868131868132,-0.2692307692307692,0.6098901098901099,0.5934065934065934,0.2087912087912088,-0.06593406593406594,-0.0027897286044109033,0.5604395604395604,0.6483516483516484,0.3021978021978022,0.3736263736263737,0.7527472527472527,1,-0.31868131868131866,0.3076923076923077,-0.6039453548539699,0.6427896467840011,0.7362637362637362,0.8681318681318682,-0.23626373626373628,0.5274725274725275,0.6428571428571429,0.6758241758241759,0.6868131868131868,0.7032967032967032,0.8241758241758242,0.554945054945055
A_L_SF1,-0.12371791482634838,0.23555762111643436,0.3672308597156983,-0.2255848076310991,0.35714285714285715,0.42916134134696904,0.2802197802197802,-0.06593406593406594,0.5824175824175825,0.4945054945054945,0.4945054945054945,0.46703296703296704,0.9505494505494505,0.9450549450549451,-0.07142857142857142,-0.2087912087912088,0.0879120879120879,-0.4450549450549451,-0.2538653030013922,-0.19230769230769232,0.07142857142857142,0.2142857142857143,0.15934065934065933,-0.34065934065934067,-0.31868131868131866,1,0.06043956043956044,-0.037565979010055546,0.29724376729896007,0.005494505494505494,-0.3241758241758242,-0.23626373626373628,-0.06593406593406594,-0.038461538461538464,-0.1263736263736264,-0.03296703296703297,-0.010989010989010988,-0.2692307692307692,-0.37912087912087916
A_L_SF2,0.5361109642475097,-0.18486800644580925,0.24482057314379888,0.09628619837912766,0.2087912087912088,0.26685032122215385,0.6813186813186813,0.24175824175824176,0.6483516483516484,0.6373626373626373,0.4395604395604396,0.3681318681318681,0.11538461538461539,0.010989010989010988,0.9175824175824175,0.8296703296703297,-0.33516483516483514,0.2967032967032967,0.12553778719849065,0.521978021978022,0.3626373626373626,0.6043956043956044,0.38461538461538464,0.34065934065934067,0.3076923076923077,0.06043956043956044,1,-0.28318968792195715,0.29724376729896007,0.06043956043956044,0.3131868131868132,0.24175824175824176,0.5329670329670331,0.1043956043956044,0.0879120879120879,0.05494505494505495,0.05494505494505495,0.1813186813186813,0.24175824175824176
N_Ceno,-0.3687083775950658,-0.24306616774209291,0.11378520558970345,-0.28357948808983896,-0.46235051089299134,-0.24451496677134074,-0.29763814138736316,-0.17049175089179056,-0.3409835017835811,-0.43634329465526056,-0.36988040871439304,-0.546151540992346,-0.09824948356476067,-0.08091133940627349,-0.5085855619822904,-0.5085855619822904,0.07513195802011109,0.11847731841632902,0.33598522914774726,-0.5432618502992648,-0.37565979010055545,-0.2542927809911452,-0.19071958574335893,-0.8177824661419784,-0.6039453548539699,-0.037565979010055546,-0.28318968792195715,0.9999999999999999,-0.5334677429619582,-0.48257834574455966,-0.4767989643583973,0.38432886217979906,-0.23984432752573925,-0.5114752526753716,-0.44212267604142297,-0.5317030875269401,-0.45946082019991014,-0.37277009940747424,-0.04623505108929913
N_Pilo,0.1952106623114296,-0.016130737111932483,-0.0019250571052596968,-0.0334859526437751,0.4681589334958621,0.4911273054420348,0.4272879154922551,0.6576518351489491,0.4904522160432841,0.6204963642365791,0.3715547091237001,0.5721942520504981,0.22293282547422003,0.3083904085726711,0.44215010385720305,0.419856821309781,-0.011146641273711002,-0.3083904085726711,-0.06602739416929758,0.21921727838298305,0.6687984764226601,0.37898580330617404,0.475590027678336,0.34554587948504106,0.6427896467840011,0.29724376729896007,0.29724376729896007,-0.5334677429619582,1,0.6687984764226601,0.5238921398644171,-0.4607278393133881,0.33068369112009305,0.6204963642365791,0.6687984764226601,0.6687984764226601,0.6687984764226601,0.6204963642365791,0.21921727838298305
Length_Tot,0.1649572197684645,0.08348877710455901,-0.4241658767258841,0.4594227179804091,0.5329670329670331,0.21458067067348452,0.3076923076923077,0.631868131868132,0.33516483516483514,0.46703296703296704,0.34615384615384615,0.576923076923077,-0.09340659340659342,0.07692307692307693,0.2692307692307692,0.27472527472527475,0.35714285714285715,-0.1098901098901099,0.14506588742936696,0.47802197802197804,0.7197802197802198,0.29120879120879123,0.5,0.4560439560439561,0.7362637362637362,0.005494505494505494,0.06043956043956044,-0.48257834574455966,0.6687984764226601,1,0.7912087912087913,-0.7197802197802198,0.3076923076923077,0.9560439560439561,0.9395604395604396,0.9560439560439561,0.9945054945054946,0.8681318681318682,0.5054945054945056
Area_Tot,0.28867513459481287,-0.13119664973573558,-0.4298593784269027,0.6272358065840317,0.576923076923077,0.2503441157857319,0.565934065934066,0.39560439560439564,0.37912087912087916,0.4835164835164835,0.4560439560439561,0.554945054945055,-0.35714285714285715,-0.22527472527472528,0.5164835164835165,0.48901098901098905,0.3241758241758242,0.25824175824175827,0.39056200461752644,0.7857142857142857,0.7912087912087913,0.5604395604395604,0.6593406593406593,0.631868131868132,0.8681318681318682,-0.3241758241758242,0.3131868131868132,-0.4767989643583973,0.5238921398644171,0.7912087912087913,1,-0.20329670329670332,0.7142857142857143,0.7362637362637362,0.6978021978021979,0.6868131868131868,0.7637362637362638,0.9175824175824175,0.7637362637362638
Diameter_Avg,0.041239304942116126,-0.372717754931067,0.22774006804074315,-0.11279240381554954,-0.14835164835164835,0.060522753266880246,0.19780219780219782,-0.46703296703296704,-0.010989010989010988,-0.11538461538461539,0.03296703296703297,-0.23076923076923078,-0.11538461538461539,-0.24725274725274726,0.09340659340659342,-0.027472527472527476,-0.005494505494505494,0.39010989010989017,0.27060367462785767,0.010989010989010988,-0.2527472527472528,0.1758241758241758,-0.027472527472527476,-0.14285714285714285,-0.23626373626373628,-0.23626373626373628,0.24175824175824176,0.38432886217979906,-0.4607278393133881,-0.7197802197802198,-0.20329670329670332,1,0.3076923076923077,-0.7417582417582418,-0.7582417582417583,-0.7802197802197803,-0.7417582417582418,-0.34065934065934067,0.1098901098901099
